,"BayesianSSA (9, 1)","BayesianSSA (6, 2)","BayesianSSA (3, 1)","BayesianSSA (2, 1)",Base method,Random
69,14.152579202000066,17.72011872038309,16.115063561533564,16.979121186450364,53.71405102983129,47.82715545863623
70,14.286113569760275,17.902587969675864,16.282729329283324,17.155019254313494,54.2130304313136,48.520302639196174
71,14.317862290171522,17.97160124603582,16.32209635367121,17.19683900045296,54.93684302618443,49.21344981975612
72,14.348633964720255,18.03830950764082,16.359966128669967,17.236978525160158,55.660655621055255,49.90659700031607
73,14.477847748023143,18.21431948076509,16.520841000148003,17.40543894246332,56.159635022537564,50.599744180876016
74,14.603012327255668,18.384315740920396,16.675457606177588,17.567067364953992,56.65861442401987,51.29289136143596
75,14.631999889738877,18.446871743376246,16.710861738241523,17.605722051630515,57.678877746277,51.98603854199591
76,16.801045690602773,20.333494299697424,18.689306019071317,19.544620464378628,58.613205165637304,52.67918572255586
77,16.83089866530298,20.398046892031918,18.72578863828232,19.58320633339671,59.33701776050813,53.372332903115804
78,16.98043345713969,20.592346593336742,18.908723333173374,19.773905068047004,59.83599716199044,54.06548008367575
79,17.009421002505977,20.65487875236359,18.943917328551105,19.81105626361139,60.55980975686127,54.7586272642357
80,17.154605210197257,20.84304991295031,19.12035070714194,19.99471989808327,61.05878915834358,55.451774444795646
81,17.182776106188673,20.903704629524725,19.154533998408706,20.031955853040866,62.07905248060071,56.14492162535559
82,17.21094698946448,20.964339208913174,19.188527561993535,20.067772631683027,62.80286507547154,56.83806880591554
83,17.238345968384433,21.023188157862847,19.221400202773975,20.10235008397202,63.526677670342366,57.53121598647549
84,17.265014219047444,21.08035377819672,19.253223710300716,20.135771159806506,64.2504902652132,58.224363167035435
85,17.290989708183456,21.135929806387658,19.284063169650345,20.16811074609696,64.97430286008404,58.91751034759538
86,17.31838869664011,21.194795840218056,19.31710644749202,20.204004103790687,65.99456618234117,59.61065752815533
87,17.459468893336886,21.377216496302427,19.487487286047035,20.38112260045933,66.49354558382349,60.303804708715276
88,19.513584634873613,23.19594558036924,21.372150244260833,22.231296460167265,67.42787300318379,60.99695188927522
89,19.540252892753834,23.25312579904954,21.404129421930726,22.265971611923995,68.44813632544093,61.69009906983517
90,19.566228387397718,23.308714340445935,21.43510999840722,22.299487228746834,69.46839964769806,62.38324625039512
